line_code,source,target,distance_miles
LN185,8380,4200,0.0
LN185,4200,9054,0.0
LN185,9054,4197,0.0
LN185,4197,11040,0.0
LN185,11040,1024,0.0
LN185,1024,1023,0.0
LN185,1023,11041,0.0
LN185,11041,8318,0.0
LN185,8318,681,0.0
LN185,681,9128,0.0
LN185,9128,9664,0.0
LN185,9664,4161,0.0
LN185,4161,8341,0.0
LN185,8341,1196,0.0
LN190,171,173,0.0
LN195,4007,171,0.0
LN195,171,172,0.0
LN195,172,1026,0.0
LN195,1026,1027,0.0
LN200,10317,4379,0.0
LN200,4379,6112,0.0
LN200,6112,9761,0.0
LN200,9761,5678,0.0
LN200,5678,9864,0.0
LN200,9864,7074,0.0
LN200,7074,11911,0.0
LN200,11911,11912,0.0
LN206,6815,6817,0.0
LN206,6817,6816,0.0
LN206,6816,1924,0.0
LN206,1924,9045,0.0
LN206,9045,4770,0.0
LN206,4770,1034,0.0
LN206,1034,9955,0.0
LN206,9955,10764,0.0
LN206,10764,11913,0.0
LN210,11034,6816,0.0
LN215,1034,7491,0.0
LN220,699,2771,0.0
LN235,7823,7821,0.0
LN600,8226,4991,0.0
LN600,4991,2770,0.0
LN600,2770,4205,0.0
LN600,4205,9144,0.0
LN600,9144,4094,0.0
LN600,4094,4093,0.0
LN600,4093,2101,0.0
LN600,2101,2102,0.0
LN600,2102,10520,0.0
LN600,10520,10525,0.0
LN600,10525,10507,0.0
LN600,10507,10528,0.0
LN600,10528,10526,0.0
LN600,10526,10534,0.0
LN600,10534,8344,0.0
LN600,8344,8343,0.0
LN600,8343,9357,0.0
LN600,9357,9201,0.0
LN600,9201,5650,0.0
LN600,5650,6596,0.0
LN600,6596,11042,0.0
LN600,11042,6598,0.0
LN600,6598,2678,0.0
LN600,2678,2683,0.0
LN600,2683,2671,0.0
LN600,2671,2687,0.0
LN600,2687,2680,0.0
LN600,2680,3624,0.0
LN600,3624,3626,0.0
LN600,3626,11043,0.0
LN600,11043,9240,0.0
LN600,9240,11044,0.0
LN600,11044,9511,0.0
LN600,9511,2897,0.0
LN600,2897,2899,0.0
LN600,2899,2898,0.0
LN600,2898,1977,0.0
LN600,1977,1321,0.0
LN600,1321,9545,0.0
LN600,9545,9549,0.0
LN600,9549,9546,0.0
LN600,9546,5733,0.0
LN600,5733,5014,0.0
LN600,5014,5013,0.0
LN600,5013,11045,0.0
LN600,11045,6788,0.0
LN600,6788,11046,0.0
LN600,11046,5918,0.0
LN600,5918,4681,0.0
LN600,4681,4682,0.0
LN600,4682,4680,0.0
LN600,4680,690,0.0
LN600,690,2344,0.0
LN600,2344,6384,0.0
LN600,6384,6386,0.0
LN600,6386,6387,0.0
LN600,6387,7068,0.0
LN600,7068,1479,0.0
LN600,1479,9810,0.0
LN600,9810,1872,0.0
LN600,1872,83,0.0
LN600,83,10213,0.0
LN600,10213,175,0.0
LN600,175,1764,0.0
LN600,1764,671,0.0
LN600,671,2194,0.0
LN600,2194,9528,0.0
LN600,9528,1334,0.0
LN600,1334,1333,0.0
LN600,1333,7671,0.0
LN600,7671,7670,0.0
LN600,7670,11047,0.0
LN600,11047,11928,0.0
LN600,11928,11926,0.0
LN600,11926,11927,0.0
LN600,11927,625,0.0
LN600,625,624,0.0
LN600,624,11929,0.0
LN600,11929,11685,0.0
LN600,11685,6599,0.0
LN600,6599,12167,0.0
LN600,12167,12168,0.0
LN600,12168,2686,0.0
LN600,2686,3621,0.0
LN600,3621,12205,0.0
LN618,10525,10543,0.0
LN618,10543,10542,0.0
LN618,10542,10519,0.0
LN618,10519,10527,0.0
LN618,10527,10518,0.0
LN618,10518,10540,0.0
LN618,10540,8344,0.0
LN620,5012,5013,0.0
LN622,11045,3583,0.0
LN624,11048,6597,0.0
LN624,6597,11049,0.0
LN626,11042,6595,0.0
LN626,6595,11684,0.0
LN627,5650,1012,0.0
LN627,1012,6595,0.0
LN627,6595,10484,0.0
LN627,10484,3089,0.0
LN627,3089,8825,0.0
LN627,8825,4636,0.0
LN627,4636,8824,0.0
LN627,8824,8829,0.0
LN627,8829,8830,0.0
LN627,8830,6657,0.0
LN627,6657,6656,0.0
LN627,6656,845,0.0
LN627,845,844,0.0
LN627,844,3872,0.0
LN627,3872,4643,0.0
LN627,4643,8135,0.0
LN627,8135,8134,0.0
LN627,8134,10632,0.0
LN627,10632,4640,0.0
LN627,4640,4531,0.0
LN627,4531,11050,0.0
LN627,11050,8088,0.0
LN627,8088,8087,0.0
LN627,8087,7942,0.0
LN627,7942,7943,0.0
LN627,7943,8464,0.0
LN627,8464,10900,0.0
LN627,10900,8462,0.0
LN627,8462,8463,0.0
LN627,8463,8655,0.0
LN627,8655,8084,0.0
LN627,8084,3014,0.0
LN627,3014,3015,0.0
LN627,3015,1336,0.0
LN627,1336,1339,0.0
LN627,1339,1338,0.0
LN627,1338,3395,0.0
LN627,3395,7071,0.0
LN627,7071,7069,0.0
LN627,7069,7070,0.0
LN627,7070,4281,0.0
LN627,4281,9551,0.0
LN627,9551,7156,0.0
LN627,7156,4347,0.0
LN627,4347,11046,0.0
LN627,11046,4532,0.0
LN627,4532,4346,0.0
LN627,4346,12078,0.0
LN627,12078,4642,0.0
LN627,4642,12217,0.0
LN627,12217,12274,0.0
LN628,8720,6977,0.0
LN628,6977,6132,0.0
LN628,6132,9581,0.0
LN628,9581,1876,0.0
LN628,1876,8461,0.0
LN628,8461,10900,0.0
LN629,7071,11051,0.0
LN630,11052,7071,0.0
LN631,2683,2627,0.0
LN631,2627,9489,0.0
LN631,9489,163,0.0
LN631,163,11053,0.0
LN631,11053,9138,0.0
LN631,9138,11756,0.0
LN632,8825,1052,0.0
LN632,1052,9071,0.0
LN632,9071,9068,0.0
LN632,9068,9074,0.0
LN632,9074,9138,0.0
LN632,9138,9137,0.0
LN632,9137,6003,0.0
LN632,6003,6002,0.0
LN632,6002,6008,0.0
LN632,6008,5998,0.0
LN632,5998,6007,0.0
LN632,6007,4044,0.0
LN632,4044,9965,0.0
LN632,9965,8714,0.0
LN632,8714,8705,0.0
LN632,8705,626,0.0
LN632,626,3959,0.0
LN632,3959,8713,0.0
LN632,8713,3962,0.0
LN632,3962,3963,0.0
LN632,3963,7633,0.0
LN632,7633,7630,0.0
LN632,7630,7638,0.0
LN632,7638,7628,0.0
